latitude,longitude,city,country
55.75,37.62,Moscow,Russia
59.93,30.36,Saint Petersburg,Russia
55.03,82.92,Novosibirsk,Russia
56.84,60.65,Yekaterinburg,Russia
55.79,49.12,Kazan,Russia
43.12,131.89,Vladivostok,Russia
68.97,33.08,Murmansk,Russia
46.96,142.73,Yuzhno-Sakhalinsk,Russia
51.51,-0.13,London,United Kingdom
48.85,2.35,Paris,France
52.52,13.40,Berlin,Germany
40.42,-3.70,Madrid,Spain
41.90,12.50,Rome,Italy
40.71,-74.01,New York,USA
34.05,-118.24,Los Angeles,USA
41.88,-87.63,Chicago,USA
25.76,-80.19,Miami,USA
43.65,-79.38,Toronto,Canada
43.07,131.55,Vladivostok,Russia
59.93,30.36,Saint Petersburg,Russia
